rating,review
negative,"After most entries in Phase 4 passed by without doing much to set up the next big bad in the MCU, I was eagerly anticipating this film given it would be the big screen introduction of Kang. While Majors shines as Kang, the rest of the film and even some of the narrative choices with Kang leave a bit of a ""meh"" feeling.As far as positives, Paul Rudd remains as endearing as ever. MODOK is a tad jarring, but I liked the tie-in to Yellowjacket. The visuals are solid and it's a very colorful movie. Majors truly has a magnetic presence on screen and I found his dialogues and conversations to be very compelling.For negatives, there aren't really any arcs for the characters and Ant-Man himself ends up in literally the same place (on the sidewalk thinking about how good his life is) as the beginning of the film. Scott's cohorts aren't given much to do either. The MCU hallmark of jokes undercutting serious moments unfortunately continues and honestly the comedy really didn't land as well as the first two films. I also got major Rise of Skywalker vibes with the cliche ""everyone in the rebellion shows up to fight the space troopers at the end.""However, my big issue with the film is the ending. This movie felt like it should've had some major consequences to establish Kang as an Avengers-level threat. Having Scott and Hope dispatch him while a portal opens up to save them literally seconds after you thought they might get trapped in the Quantum Realm or Kang would escape was eyeroll-inducing. The Council of Kangs scene was also almost more goofy than menacing.I'm hopeful that Feige can right the ship and get the Multiverse Saga to Infinity Saga levels of hype, but right now I'm just left not feeling much. I never thought I'd say this, but I think I'm currently looking forward more to seeing how The Flash movie resets the DCU than how the MCU multiverse plays out."
positive,"Well, I'll start off by saying that this wasn't a bad movie. It wasn't great, but it was alright. It was like Dune and Star Wars had a baby, and I'm not sure if that's a good thing.Jonathan Majors definitely stole the show here. We will be seeing a lot more of him. Literally.The CGI was very rough in places, and the editing was very off at times. It could have used an extra few months in development. At that, Modok was atrocious in execution.That's just how Marvel has been lately. Quantity over quality, unfortunately.Another thing I will say: I wish a Marvel movie would take itself seriously once in a while. The humor gets repetitive.7/10 for me."
negative,"As a huge fan of the first one, and almost as big a fan of the second one, I decided to go all out and see this one in 3D with the 4DX motion and sensory seats. What a let down; sure, sitting in the nicest seats for the best visual, motion and sensory experience was great, but I felt like I was watching a Looney Tunes story, instead of any type of story that is part, or compliments the MCU timeline. This was literally one of Marvel's dullest and most unnecessary movies to date. The entire story was cliched and predictable, and there was more CGI than there was any type of interesting story, let alone one with any substance. Even the normally awesome and hilarious humor in the previous installments was absent in this one. Almost the entire film is taking place inside a CGI story, so there was no need for any movie sets or locations... this was all green-screen nonsense. It's a very generous 6/10 from me, only because I still enjoyed the fun ride in my upgraded seats, although the money spent would've been more fun at an amusement park."
negative,"Well it's happened. The MCU has run out of gas. The last few MCU films have been lackluster at best. Not counting the sort of stand alone Spider-Man No Way Home. Ant-Man and the Wasp: Quantumania is supposed to start the Phase 5 of this thing and if it goes on like this it's going to get worse!!! This film is of course competently made, looks good and is not horrible but is completely uninspired and like pretty much everything out of the MCE factory since Endgame it's totally forgettable. The reason that the MCU was so successful is that the films had characters we cared about. Stakes were there, of course they were lightoments but there were heroes to root for and some pretty good villains. We cared about what was on the screen. I didn't care at all about what I saw in Quantumania. Not that every film from Iron Man to Endgame was great but they were mostly at least better than average. The two previous Ant-Man films were among the weakest but were still more memorable than this one. The acting in Quantumania is fine but but again no one to really care about. Even Paul Rudd who is usually very engaging us just flat here. He seems to be phoning it in. The only notable performance is Jonathan Majors as Kang the Conqueror but he alone can't save the film from being just painfully average. It's never boring but it's just not exciting or engaging.Just average in an MCU that us just churning out film after film with average results. I think Kevin Feige and company should go back and see what made these films better when the MCU started.Painfully average.Grade: C."
negative,"New Ant-Man is not a bad movie, but it's repeating current trend that been plaguing new Marvel productions. Main character is just an excuse to introduce few new characters that are definitely going to have their own stories. That makes Paul Rudd's character less important. You don't feel that this is his story. He is just there. And the story is not even that good. You can feel the lack of great characters from previous movies. They were setting the tone of story and we don't even know what happened to them after previous movie. It's hard to believe that the director is the same person who made two prior movies. Adding Kang definitely made this into Kang movie that have Ant-Man in it."
negative,"I enjoyed watching Quantumania. It's a mostly solid and fairly entertaining movie. But relative to MCU standards, it's a bit underwhelming and feels like more of a throwaway movie than something memorable I will keep coming back to.My biggest issue is that I wasn't fully engaged for at least the first half of the movie. I was enjoying it but I wasn't locked in. The story was unfocussed. When the villain becomes prevalent, the movie jumps a level. But it doesn't completely make up for the much weaker first half.The other thing that surprised me was not being mesmerized by the visuals. It's very creative and I didn't notice poor CGI like some others. But it didn't wow me like it frequently does. Maybe we're just getting spoiled with the visuals in movies like Doctor Strange 2 and more recently Avatar 2.There is still a lot of good here. It's pretty funny but doesn't overdo it. This is the second movie in a row where the MCU seems to have dialed back on the ""insert joke here"" strategy. It's probably a result of the negative reaction from the cartoonish Thor 4. Also, I love the villain. I won't say who in case you're smart (and crazy) like me and don't watch trailers. But he's so damn awesome.As someone who loves almost everything in the MCU, Quantumania is near the bottom of my MCU rankings. And it's making me a little nervous that it comes only two movies after Thor 4 which is below it (5 stars). But I still have faith and am not joining the MCU doom and gloom crowd. Phase 4 has three of my favorite entries in the entire MCU (Shang-Chi, Loki S01, No Way Home) and I only disliked two (Eternals, Thor 4). They just need to be more consistent while also not playing it so safe. (2 viewings, opening Thursday IMAX 2/16/2023, IMAX 2/28/2023)"
negative,"""Ant-Man and the Wasp: Quantumania"" is the first film of Phase 5 in the Marvel Cinematic Universe. Once again directed by Peyton Reed and starring Paul Rudd and Evangeline Lilly in the title roles, it ranks among the MCU's weakest efforts in its execution of both fun and emotional payoffs.Some time after the events of ""Avengers: Endgame"", Scott Lang (Paul Rudd) is enjoying being in the spotlight with the recent publication of his autobiography. While Scott is hanging out with Hope van Dyne (Evangeline Lilly), her parents Hank (Michael Douglas) and Janet (Michelle Pfieffer), and Scott's daughter Cassie (Kathryn Newton), the group are accidentally sucked into the Quantum Realm, where they each discover it is not as destitute as they had initially thought. Soon, the group learn of a dangerous new threat inhabiting the Realm known as Kang the Conqueror (Jonathan Majors), who will stop at nothing to escape his fate as a prisoner of this place. As Kang makes his position clear, it is up to Scott and the others to stop Kang before irreversible damage is inflicted on all of space and time.Right now, it seems the MCU is in a strange holding pattern after ""Avengers: Endgame"". Although there have been several films and TV shows made since then, there hasn't really been any concrete indication of what to expect from where the series is heading. This is because even after all these years, we haven't had any proper build-up to whom the main villain will be that is taking over from Thanos. While ""Ant-Man and the Wasp: Quantumania"" at least establishes some things to look forward to in the future, it never does so in a way that can distinguish itself as nothing more than a relatively mediocre entry in this already expansive cinematic universe.Given that this film is supposed to kick off Phase 5, it surprises me how few exciting moments there were to hype up the audience. The previous two ""Ant-Man"" films contain some of the funniest, most entertaining scenes that fans like myself have come to appreciate from the MCU after all these years. Yet here, I struggled to find anything remotely enjoyable that could leave an impression on the viewer. Aside from the odd dry banter from Scott, there are no amusing scenes of comic relief to alleviate the severity of whenever something bad has taken place. Most other MCU films have been able to strike a balance between humorous and dramatic but this one leans so heavily on its dark tone that it is simply not fun to watch at times. If the filmmakers wanted make a darker ""Ant-Man"" film, that's fine, but this is not the way they should have gone about it.Another big problem is that the film goes way too far with its overuse of CGI. Though the MCU has used plenty of CGI in prior films, they at least tried to make it look like it had some basis in reality to give the audience the impression that what was on screen could be imagined as physically right in front of the characters. Here, it is used so much as a means to an end that the whole film looks about as realistic as the Star Wars prequels. At no point did the Quantum Realm ever feel like a real place inhabited by its population of various creatures. Instead, we constantly have to watch the actors move around within the limited confines of what I assume is where green screen stages were in ways that looked so planned out that it doesn't match the vibrant environments they are projected against. Everything looks so clean and sterile that it is near impossible to imagine the characters actually being there in any of these locations. At first, I thought maybe I have just become desensitised to CGI in general but as the visual effects kept piling up here, I found myself becoming less and less invested in the story, which has never happened to me with other MCU entries until now.The cast of the film were fine, considering what they had to work with, but I doubt this will be viewed as them at their best. Paul Rudd still exudes his likeable charm as Scott Lang/Ant-Man, who is now treated like a true hero by the general public. I'll admit it's nice to see an underdog like Scott finally get the recognition he deserves after all this time, especially considering the important part he played in helping the Avengers bring back half of the universe's population from Thanos's actions. Scott's best scenes were with his daughter Cassie, with Kathryn Newton now playing the role in place of Emma Fuhrmann. At first, I wasn't sure about the recasting of the character, but Newton proved she was right for the part. Some of the physical requirements for the character seemed to come naturally for Newton and she also had pretty good chemistry with Rudd as her onscreen father.I was somewhat underwhelmed by how Evangeline Lilly, Michelle Pfeiffer, and Michael Douglas were used this time around. For a film that has ""Ant-Man and the Wasp"" in its title, we don't really see enough of the titular characters doing things together. Instead, Hope mainly hangs around with her parents, and while this does provide some decent scenes of the three bonding together, it still seems like a strange creative decision to keep her separate from Scott for so long. Additionally, Douglas and Pfeiffer, while not exactly going to waste, didn't contribute as much to story as I had hoped. If it weren't for one crucial scene near the end, I'd say that Hank and Janet's presence in the film was quite forgettable. Most of the time I kept forgetting about them as I cared more about what was happening with Scott and Cassie in the meantime.However, the one character that stood out the most to me was Kang the Conqueror, played by a surprisingly intimidating Jonathan Majors. Anybody who watched the first season of the Disney+ series ""Loki"" will remember this character, who was known back then as ""He Who Remains"". This time, we get a better look at Kang's motivations as a villain and why he is so determined to inflict chaos on all the different multiverses. Majors does a good job at concealing Kang's true personality, whose vulnerability is used as a facade for his malicious intent. I guess I liked watching Kang the most because he is the only character in the film with some kind of interesting end goal, while all the others are only there to try and stop him. I'm looking forward to seeing more of Kang in future MCU projects, as I think he has the potential to be as threatening as Thanos was back in the Infinity Saga.For the beginning of a new chapter in the MCU, ""Ant-Man and the Wasp: Quantumania"" just doesn't land in the same way as the previous films. It tries hard to be one of the darker entries in the series by upping the ante with its main villain but it ends up relying too much on the audience's assumption that things will be addressed in more detail later on. At this point, I can only hope that ""Guardians of the Galaxy Vol. 3"", the next film in the MCU release schedule, will leave a better impression on me and other long time fans because if that doesn't work, we're in for a relatively dull Phase 5.I rate it 6/10."
positive,"LIKES:The Graphics/World Design
-Marvel really has a great budget to create worlds from our imagination and this installment continues to make it happen.-Lavish colors, odd beasts, a world that Strange World was trying to make but with more thought and layering.-Great cultures, a comic book sense of atmosphere, and a new world to which lots of foundations may just build from in the future.-Feels like a strong mash up of Star Wars, Marvel, and Battlestar with pinches of other movies to help spice up a few things with them as well. Nice references indeed.The Comedy At Times
-The comedy is awesome often thanks to writing and Paul Rudd making the lines come to life.-The snarky humor and sarcasm works very well, and I truly did laugh a bunch at how he just owns AntMan and makes it work on levels to be fun.-There are plenty of aggressive lines that will be there for people to enjoy, several filled with cursing so caution, but it works when in balance and timed just right.-And some running gags add a little spice to the mix as well, and that was awesome to say the least.-Overall, the comedy works for me, but there are limitations to be mentioned at a later section.The Action At Times
-The action does have these moments that show Marvel can still make a good fight.-Choreography has some flavor, the powers are fun, and the use of that awesome design comes out pretty well.-Several moments have some impressive strategy behind it, and again surprises me with how some of these stunt people can move.-And there is musical and visual support to help make everything come to life and have that movie magic that we love in these films.-Throw in some emotional moments that work to add that bite and edge, and several comedic moments, and AntMan 3 really helps add a little more sauce to the factor that many come to these movies for.The Character Development At Times
-Kang is the lead for me on this film, in just how much they took the one moment we had with him before and amplifies it so well. He gets a lot of time to flourish and I totally agree that he is worth it.-As for Scott, again he and Janet get some surprising levels that I love and these moments really help amplify those who seem somewhat forgettable, a joke of the movie, and really bring them to the forefront to be the heroes we want.The Acting
-Marvel is not often loaded with duds, so I can't say that I was surprised to see a strong hand played for this film.-I'd say just about everyone hits their mark, but I have limited room, so I'll stick to the three top listed and go from there.-Rudd is hilarious, hands down a solid balance of comedy, emotion, and bravado that establishes the themes of this movie and often does not stray into overacting. So natural in his delivery he keeps entertainment and drama in check.-Lilly was fine in her time on the screen, but I can't say that Hope had the same punches or influence on me as the past. She seemed a little laid back, lackluster, and then finally picks it up but not to the degree I've seen her in other films.-Majors though, wow, Majors kills this role. The man knows how to articulate movements, add elements to his speech and craft this role so well. Kang is such a layered villain and Majors destroys it with the way he incorporates so much into one man. What a fantastic ability to do so much.DISLIKES:The Pace Is A Fast
-Normally this is a good thing, and by the end you'll see why it might be a bit bad.-Quantumania really has a lot of things launching from it, and not everything was fleshed out, thought through, or detailed as Phase 1 and 2 were able to do for the most part.-It was great to see so much, and yet, it moved a tad too fast for me to really get everything down and have that commitment.-Perhaps they tried to launch too much and had they toned back, several parts of this could have had a consistently strong bite that these climactic moments had.-Though my bladder was happy, I think this one needed to slow down a bit in my opinion.The Character Development Is Bland At Times
-With that pace, some development felt a bit simplified and lacking.-Hope gets little for me in terms of truly worthwhile investment, and Hank is more comedic than truly amazing, lost to a secondary character status.-Several other new members are there to have an inconsistent bite, and though there are shining moments, there are sadly not the same speed that I like in my character stories.-Thus, these blander moments aren't the worst, but given the magic of Avengers and Civil War, I guess I expected more in this tale.Many Elements Feel Simplified:
-Again, there is a lot of potential in this movie, and yet... did it fully achieve it?-Some levels, yes, there are these champion aspects I wish I got more time with and had smoother transitions.-And yet other things just felt so watered down. Several cultural tribes and relationships. New characters who had abilities to dig out things, but were comedic only, and even several elements of exploration were lost.-All this build up at times sometimes just flops out and again, we are left with a bare bone, C-grade means to tell the tale.The Comedy Forced Sometimes
-There is plenty of good laughs to be had and I admit again I chuckled a bunch, especially some of the adult jokes.-But... again we have been robbed of balance and sometimes the comedy tried too hard to be funny for me and tripped up the momentum to be had.-A running gag about how to punch sometimes flopped for me, other times it was just stopping to joke during an action scene, and other times was just a joke going too far for me that it lost its edge for me.-I'm not saying it reached levels of Thor, but... I can also say sometimes the edge needed to win and stay while the jokes were left behind.The Action Could Have Been More
-Again, there are moments where the action is on fire and some of the best I've seen in a while.-But that doesn't mean it approaches the level that other films have done and given the buildup, I guess I feel more of it than other films.-Many action sequences last less than 5 minutes, with a tad simplification and a minimization to the chaos they could have had.-A few bad guys to beat down or at least scare off? Maybe a run in with Kang earlier and fleeing from him to an extent far less trivial.-And they still have not gotten big battles with lots of pieces the due time and natural development I know they can do.-Thus, the action could have been more in my opinion.The VERDICT
The opening hand for Phase 5 is heavy and truly a visionary wonder to behold. AntMan's third trip to the screens is loaded with a bunch of things you might like in regards to your movie with action, comedy, edge, emotion, and stakes that have been absent in a lot of Marvel's productions. It really has a lot of good in my opinion and has done the job of set up and entertainment to the point that there is a lot to uncover. Some good character use, a dab of emotion, and some focus on evolving characters is a nice foundation, and the comedic antics with the comic capers of fighting further help add the spice to things that I like in a movie. Not to mention, Majors really is a welcome addition for me and what he has done with a villain in terms of exciting layers. And yet, the movie still has balance issues, primarily in the form of doing a consistent job of handling everything and not doing too much. I think there was a lot they try to accomplish, which they kind of did, but I just think more time or less content would have helped with character usage, action, and that full effect I like to see in other movies. Still, I don't think this is horrible, nor do I think it is perfect, but the opening gamble was enjoyable for me. My scores are:Action/Adventure/Comedy: 8.0
Movie Overall: 7.0."
positive,"Ant-Man's 3rd solo outting. Doubling down on the sci-fi elements of the MCU. Overall the humor was like the rest of the previous movies. The cast was all stellar. Doesn't really dive that deep into Kang's story, but what we did get was sufficient. Johnathan Majors portrayal was excellent, just wish he had more substance to work with. The visual effects were definitely spotty. Blue screen overload, wish they took more time blending in the effects with with actors. This leads into Modok, as a concept. I didn't mind his backstop changing, just wish they went more practical with his design. Overall Quantumania was a pretty fun movie, but for setting the tone of ""PHASE 5"", Marvel will definitely need to step up their storytelling, and start getting more into detail with these characters, and concepts."
negative,"Where do I even begin? They somehow made a movie that's even worse and more uninteresting than the second Ant-Man movie. I haven't been this uninvested in an MCU movie since Thor 4 and Captain Marvel. Like another reviewer said, who even cares anymore?First of all, the first act of this movie is probably the worst first act of any MCU movie I've seen in a while. It's also artificially made boring and uninteresting because they do this stupidest trope of one character hiding something from the others and not telling them until the middle of the movie and their explanation for it is ""I wanted to protect you"". Protect her from what? An angry guy with the size of an atom in the Quantum Realm? Not telling your family of ""scientists"" about the actual dangers of Quantum Realm and then getting mad when they eff with it is protecting them? I hate this trope so much because there's no point to it. The only reason they did that was to postpone introducing Kang and showing his flashbacks till the second act.The first act is completely boring but it gets just a little better and more interesting when they introduce Kang. But the movie gets boring and uninteresting as it goes anyway.There is no character arc in this movie. Marvel, or rather the writers they hire have forgotten how to write scripts anymore. They don't even care enough to have character arcs, so it's no surprise they don't do any characterization for the new characters either.Remember the first Doctor Strange movie? Remember his memorable character arc throughout his first movie? Remember when MCU writers had an iota of an idea of how to write a movie and make the audience actually care about the characters and have interesting characters? Remember when they actually tried? Now compare that to the second Doctor Strange movie where he doesn't even feel like the main character of his own movie, now imagine something that's somehow even worse and you get this movie.I don't even know who's the main character of this movie. Scott Lang doesn't have a character arc in this movie. Her daughter wants to help the resistance people for some reason and Lang who is the ""hero"" apparently, doesn't care and doesn't even change at the end. Things just happen and they go through it and that's that, no character growth and no nothing.They for some reason again mislead us in the trailers that Scott wants to help Kang because he missed Cassie's childhood. But this is nowhere to be found in the actual movie. Now I know about Marvel trailers and that they have misleading footage and stuff that aren't in the movie, but they aren't usually as misleading as this one. And the funny thing is, this could've worked better than whatever cliché we got in the actual film.Also, what's with the kid genius trope we keep seeing in these movies? Why does every child of these superheroes have to be a genius scientist and inventor all of a sudden? Can't they be a normal child with normal lives for once? All of them have to invent some multiverse-bending device in their garage that even Tony Stark couldn't've made?And speaking of the resistance people, please show me someone who actually watched this movie and cared about them or even remembers their names. The writers don't even do the bare minimum of characterizing them. You won't care about these people or their uprising and revolution when watching this movie. You won't care about any of them dying.This movie was only made to introduce Kang and nothing else. The writers don't care about characterization or character arcs or even writing a decent plot with what they've got. Why even make this movie when we had Kang introduced in Loki? This adds nothing and is repetitive. You don't even need to see this movie if you have seen Loki. Somehow Loki gave more backstory and characterization to this next big baddie of the MCU than this movie, and he was only in the last episode of that show, so you go figure!It's obvious that they saw the backlash and mediocre reactions to Phase 4 and decided to make Kang the villain of this movie and start Phase 5 with this to set him up as the next big villain and hype people up again, and they failed miserably at that.MODOK's design and CGI are somehow even worse than the floating head in Thor 4. It's probably the goofiest and worst thing I've seen in a while, and his character doesn't even have a place in this movie. The design of his armor when he's not showing his face is alright, but my god what an atrocious monstrosity! I don't even know what they were thinking designing him like that. Even Marvel's Avengers game had a better design than this, and that game had the blandest and forgettable face designs ever. And the only reason he was in this movie was to have something connected to the first Ant-Man movie. He doesn't serve a purpose in this movie and they even dare thinking we would care about him.Speaking of the first Ant-Man movie, that movie at least knew how to be a little fun movie about Scott Lang and a reasonable throwaway villain, not a giant world-ending event with a big baddie that's out of Ant-Man's league. If you've seen The Avengers: Earth's Mightiest Heroes, you know that all the Avengers combined can't even defeat Kang, but here we are with Ant-Man and the Wasp and his daughter saving the world from this omnipotent god. And this omnipotent god has robot soldiers that somehow die from a paintball bullet. This is why it's tricky to have a villain that's omnipotent, because you make it harder for the audience to believe that he would be this dumb to have prison cells that can be opened if you stick a fork into their control panels and robots that die from a punch and him getting defeated at the end somehow.And this is one of the biggest reasons Phase 4, and apparently Phase 5 now have been a huge disappointment for me, especially for the Dinsey Plus shows; the fact that each and every one of them has to end with a huge gigantic clusterfk of an ending and third act, with two Kaijus punching each other. Shang-Chi that's about this father and son? End it with a big fight in the third act with a giant Dragon. Moon Knight which is a street-level superhero? End it with two Kaijus punching each other. Black Widow? Some CGI vomit of bad action in the sky or something. Eternals? Same Kaiju fighting. Same with What If and Ms. Marvel. Just have a big battle or even a full-on war like Wakanda Forever in your third act. Just have ""world-ending"" ""stakes"" in each and every project of yours, doesn't matter how big or small the superhero is. I think pretty much most of the audience apart from the Marvel fanboys have gotten tired of this formula since a long time ago, I don't understand how the producers and writers haven't yet.This movie is also CGI galore and I don't think there was even one real set. The actors probably still never met each other and all of them were shot separately.I also remember when they said Ant-Man couldn't take his mask off if he's small or big, but here we are having him enlarged to the size of Kong and having his helmet off easily like it's nothing. There's no difference in pressure on his body and his head when he's large and takes his helmet off. So what's even the point of having a helmet in the first place? Just stab yourself with one of those blue enlargement pills ;) and get big or small.I have rambled a lot, but the more I write, the more I realize I don't care about this movie and it's probably better to stop wasting more time on it and move on.All in all, this movie is a big disappointment and fails at pretty much everything it does or tries to do. There is no characterization or character arc, there is no real tension and you won't care about anything and anybody because they don't take time to develop characters, the movie is full of tropes and clichés and all in a bad way, Kang has a better introduction in Loki, the movie is all CGI and action and is somehow on par with Eternals on how boring and uninteresting it is.The M(id)CU continues to be mid and they are progressively getting worse with writing actual decent plots, characters, and villains, and I don't think most people care anymore about what the next MCU movie is gonna be about (apart from GOTG3) and which version of Kang we're gonna see next. The hype and excitement and investment people had MCU has significantly died down since Endgame and I don't think most people now care about what's coming in the future.I don't even have a morsel of hope in what they're gonna do with the X-Men, Blade, Daredevil, and Fantastic Four. If they can't even think of a good story to tell for Ant-Man and Wasp and they just throw the next big baddie in there to fight, they probably will have ran out of ideas by the time they're gonna make X-Men."
